"name","description"
"convert_lock_to_semaphore_slim","Converts lock statements inside a method to async-safe SemaphoreSlim pattern: adds a 'private readonly SemaphoreSlim _semaphore = new(1,1)' field, replaces each lock block with 'await _semaphore.WaitAsync(); try { ... } finally { _semaphore.Release(); }', and makes the method async if needed. Returns the updated source as a string. Does NOT write to disk or update the workspace. Pass the result to apply_proposed_changes to save."
"detect_long_parameter_lists","Detects methods with too many parameters and suggests a Parameter Object, optionally filtered by project."
"modernize_exceptions","Replaces generic throw new Exception calls with custom typed exceptions and generates the new class files."
"add_guard_clauses","Adds ArgumentNullException.ThrowIfNull guard clauses for all reference parameters in a method. Returns the updated source as a string. Does NOT write to disk or update the workspace. Pass the result to apply_proposed_changes to save."
"find_migration_candidates","Returns all methods in the solution (or scoped to a file/project) that carry a
[MigrationCandidate] attribute added by flag_migration_candidate.

filePath:    restrict to a single file (full or partial path suffix).
projectName: restrict to a single project (case-insensitive name).
pattern:     restrict to one pattern — ""AsyncBridgeCandidate"", ""HandlerExtract"",
             ""HandlerToAsync"", ""AsyncCallerUplift"", etc. Omit to return all patterns.

Uses syntax-level analysis — no compilation needed — so results are accurate even
immediately after flag_migration_candidate without a solution reload.

Returns one MigrationCandidateFinding per flagged method per attribute.
Each finding includes a Summary field for human-readable log output.
A method flagged for two different patterns appears twice."
"extract_interface","Extracts an interface from a class: creates a new file '{interfaceName}.cs' containing all public non-static properties and methods, then adds the interface to the class's base list. Returns a staged ChangeId (autoStage=true, default) or the raw file dictionary. Static members and constructors are excluded."
"class_to_record","Converts a class to a C# record."
"find_non_exhaustive_enum_switches","Finds switch statements on enum types that don't handle all enum members and have no default case. Returns the enum type name, the list of missing member names, the containing method name, file path, and line. Essential after adding a new enum member — tells you every switch that needs updating. Scope to a file or project, or scan the entire solution."
"find_concurrent_collection_opportunities","Finds lock statements that protect List<T> or Dictionary<K,V> fields and suggests replacing them with ConcurrentDictionary<K,V> or ImmutableDictionary for better performance."
"convert_to_null_coalescing","Modernizes null checks using null coalescing operators (?? and ??=).
Converts patterns like:
- 'if (x == null) x = y;' → 'x ??= y;'
- 'x == null ? y : x' → 'x ?? y'
- 'x != null ? x : defaultValue' → 'x ?? defaultValue'
filePath: path to the .cs file to transform."
"find_cas_loop_without_backoff","Detects while/do-while loops containing Interlocked.CompareExchange that have no back-off (no Thread.Sleep, Thread.SpinWait, SpinWait.SpinOnce, or Task.Delay). A spinning CAS loop without back-off can peg a CPU core at 100% under contention (live-lock)."
"move_all_types_to_files","Atomically moves all secondary types in a file to their own files. Returns a ChangeId for ApplyStagedChanges plus first-15-line previews of each affected file's new content."
"find_best_insertion_point","Returns the best 1-based line number where a new member of the given kind should be inserted in a type, following standard C# ordering (fields → constructors → destructors → properties → events → methods → nested types)."
"detect_reflection_usage","Scans for System.Reflection usage. Optionally filtered by project."
"append_completed_work","Appends an entry to a completed-work log in docs/completed/. Append-only — existing content cannot be overwritten or deleted. Use to record finished work as an immutable audit trail. Only bare filenames and documentation extensions are accepted. Entry size capped at 512 KB."
"make_class_immutable","Makes a class immutable: adds 'readonly' to all fields and converts property setters to 'init'."
"move_type_to_file","Moves a type to its own file. Returns a ChangeId for ApplyStagedChanges plus a ContentPreviews map showing first 10 + last 10 lines of each affected file for structural confirmation. Use autoStage=false to get the full raw file content dictionary instead."
"generate_to_string","Generates a public override ToString() for a class based on its public properties.

SECURITY: Sensitive properties are automatically excluded from the output to prevent
credential leakage in logs. Properties whose names contain any of these substrings
(case-insensitive) are excluded by default: password, passwd, secret, apikey, token,
hash, salt, pin, cvv, ssn, creditcard, connectionstring, privatekey, clientsecret.

Use excludeProperties to additionally exclude specific property names by exact name.

Returns: UpdatedContent (the new file source), IncludedProperties, ExcludedProperties,
and an optional Warning listing which properties were excluded and why.
Skips generation if a ToString() override already exists."
"generate_path_driven_tests","Generates path-driven xUnit/NUnit/MSTest test stubs for a method by walking
its AST for decision points (if/else, switch, foreach) and emitting one test
case per distinct execution path. Always includes a happy-path test first.

For each path the report includes:
- TestMethodName: suggested test method name following the MethodName_Condition_Outcome pattern
- ScenarioDescription: human-readable description of the path
- InputConstraints: inferred parameter values to trigger this path
- ArrangeCode / ActCode / AssertCode: Arrange/Act/Assert scaffold with TODO markers
- Note: caveats about heuristic inference

Generated code is a starting point — TODO markers show where you must supply
real values or mock setups that cannot be inferred statically.

framework: ""NUnit"" (default), ""xunit"", or ""mstest""
disambiguateLine: any line number inside the desired overload when the method is overloaded"
"add_validation_to_poco","Adds [Required] and [StringLength(100)] data annotations to all string properties in a POCO class."
"apply_staged_changes","Commits a previously staged set of changes (from a refactoring tool) to disk."
"inline_method","Inlines a method solution-wide: replaces ALL call sites (across all files in the solution) with the method's expression, then removes the method declaration. Supported: expression-body methods (=> expr) and single-return-statement methods. Methods with multiple statements are rejected. Returns a dictionary of filePath→updatedContent for every file that was modified."
"encapsulate_field_safe","Encapsulates a public field into a private backing field + public property.

FIXES standard 'encapsulate_field' BUG: The standard tool generates code like
  private int SuccessCount;
  public int SuccessCount { get { return SuccessCount; } }
which causes infinite recursion / a compile error because the backing field and
property share the same name.

This tool always renames the backing field to _camelCase:
  private int _successCount;
  public int SuccessCount { get => _successCount; set => _successCount = value; }

Parameters:
  filePath            - Absolute path to the .cs file.
  fieldName           - Exact name of the field to encapsulate (e.g. ""SuccessCount"").
  overridePropertyName - Optional: provide a custom property name if the default
                         (PascalCase of fieldName) would conflict.

Returns: UpdatedContent with the corrected encapsulation applied."
"find_double_checked_locking","Detects the double-checked locking (DCL) pattern where the lazily-initialized field is not declared volatile. Without volatile, a CPU or JIT may reorder the store and expose a partially-constructed object to the outer null-check on another thread. Use volatile or Lazy<T>."
"interpolate_string_safe","Converts a string.Format(...) call to an interpolated string ($""..."").
Unlike the built-in convert_to_interpolated_string, this resolves const string format arguments
via the semantic model, so it works even when the format string is a named const rather than a
literal. Handles {0:format} format specifiers correctly.
contextSnippet: verbatim substring identifying the string.Format call to convert (required).
Provide lineBefore and/or lineAfter when the snippet could match multiple locations.
Returns the updated file content."
"diagnose","Checks the health of the Roslyn MCP server environment and workspace status."
"find_di_registrations","Scans for all DI registrations (AddSingleton/AddScoped/AddTransient) across the solution or in a specific project/file. Returns service type, implementation type, lifetime, and source location for each registration. Use lifetimeFilter to narrow results ('Singleton', 'Scoped', 'Transient')."
"upgrade_to_file_scoped_namespace","IDE0210: Converts a block-form namespace declaration ('namespace Foo { }') to C# 10 file-scoped form ('namespace Foo;'). Preserves using directives, extern aliases, and all type members. Returns the rewritten file content."
"read_current_state","Reads the migration state file (docs/migration-state.yaml). Takes no parameters — there is exactly one state file."
"move_all_types_to_files_in_solution","Atomically moves all secondary types in every file across the entire solution to their own files. If autoStage is true, returns a ChangeId."
"implement_interface_safe","Generates stub implementations for all unimplemented members of an interface on a class. Unlike the built-in implement_interface, this never adds the 'override' keyword (which is incorrect for interface implementations). Pass filePath of the class file, className of the implementing class, and interfaceName of the interface to implement."
"use_field_backed_properties","C# 14: Upgrades manual backing fields to modern 'field' keyword auto-properties."
"generate_call_tree","Generates a markdown call tree for a specific method."
"convert_out_params_to_value_tuple","Converts a method that uses 2+ 'out' parameters to return a ValueTuple instead.
Rewrites the method declaration (return type, parameter list, return statements)
and all call sites in the solution.

Transformation applied:
  void M(T1 a, out T2 b, out T3 c)  →  (T2 b, T3 c) M(T1 a)
  bool M(T1 a, out T2 b, out T3 c)  →  (bool result, T2 b, T3 c) M(T1 a)

Call site rewrites:
  M(arg, out x, out y)          →  var (x, y) = M(arg);
  bool ok = M(arg, out x, out y) →  var (ok, x, y) = M(arg);

Complex call sites (e.g. inline in conditional expressions) receive a TODO
comment and are listed in CallSiteWarnings for manual review.

Use FindMultipleOutParameterMethods first to identify candidates.
Changes are applied directly to the workspace via Roslyn's DocumentEditor."
"analyze_path_coverage","Analyzes execution paths for test coverage."
"apply_proposed_diff","Applies a Unified Diff to a file and writes the result to disk. Returns ApplyChangesResult with SucceededFiles, WorkspaceInSync, and WorkspaceVersion. To preview the result without writing, use validate_proposed_diff instead."
"introduce_parameter_object","Encapsulates method parameters into a new C# 12 record type. Groups all non-CancellationToken parameters (or only those specified in parameterNames) into a 'public record {NewTypeName}(...)'. Rewrites parameter references in the method body to 'request.PropertyName'. Appends the record to the end of the file. Adds a TODO comment in the method body reminding to update call sites."
"find_async_over_sync","Finds async methods with no await expressions, or that only await Task.FromResult/Task.CompletedTask."
"find_extension_methods","Finds all extension methods whose receiver type matches the given type (or its base types / interfaces). Returns method name, full signature, defining class, namespace, file path, and line."
"find_primitive_obsession","Finds methods/constructors where the same primitive type (string/int/long/Guid/bool) appears 3+ times as distinct parameters."
"analyze_semaphore_usage","Analyzes SemaphoreSlim usage to find potentially missing Release() calls."
"introduce_field","Introduces a new private readonly field from an expression. Provide contextSnippet: a verbatim substring from the expression (e.g., the expression text itself or the surrounding assignment). Provide lineBefore and/or lineAfter when the snippet could match multiple locations. The expression type is inferred from semantics."
"add_modifier","Adds a modifier keyword to a type or member (idempotent).

targetName is the class/method/property name to modify.
modifier is the keyword to add: virtual, abstract, sealed, static, readonly, override,
partial, async, new, extern, unsafe, volatile.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"list_projects","Lists all projects in the current solution."
"find_missing_generic_constraints","Finds generic methods with type parameters used in ways that require constraints but have none declared: (1) 'new T()' instantiation without 'where T : new()', (2) 'param == null' comparison without 'where T : class' (always false for value types). Returns file path, line number, method name, and a description of the specific violation. Scope by file or project, or scan the entire solution."
"analyze_performance","Analyzes a file for common performance issues."
"detect_unused_local_variables","Identifies local variables that are declared but never used within their scope."
"get_type_hierarchy","Returns the full type hierarchy for a named type: direct base class, full base class chain
(excluding System.Object), all implemented interfaces (including transitive ones), derived
classes (via SymbolFinder.FindDerivedClassesAsync), and — if the type is an interface —
all implementing types (via FindImplementationsAsync).
Each entry includes TypeName, FilePath, Line, and Kind (Class/Interface/Struct).
IsInterface, IsAbstract, IsSealed flags are included on the root type."
"get_test_coverage_map","Extends path coverage analysis with a cross-reference to test methods that exercise the given production method. Finds covering tests by name convention (test method name contains the production method name) and by direct call-site presence in the test body. Returns BranchesToTest (execution paths to cover) and CoveringTests (test file, test method name, line) with HasAnyCoverage flag."
"generate_xml_documentation_stubs","Generates XML documentation stubs (<summary>, <param>, <returns>) for ALL undocumented public methods in a file. Unlike document_poco_fields (which targets a specific class's fields), this covers every public method in the file that lacks XML docs. Returns the updated file content. Apply with apply_proposed_changes to write to disk."
"get_project_diagnostics","Gets all compiler errors and warnings for a specific project."
"add_constructor_parameter","Adds a DI constructor parameter in one step: private readonly field + parameter + body assignment.

className is the target class; paramName and paramType define the parameter.
fieldName overrides the derived field name (defaults to _camelCase of paramName).
If the class has no constructor one is created. Expression-bodied constructors are converted to block bodies.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"find_unsafe_lazy_init_thread","Detects the unsafe lazy initialization pattern (if (_field == null) { _field = new X(); }) outside a lock and without a volatile field or Lazy<T>. Without volatile, the CPU or JIT may reorder the store and expose a partially-constructed object on another thread."
"update_plan","Writes (creates or overwrites) a plan file in the solution's docs/plans/ directory. Only bare filenames and documentation extensions are accepted. Content size capped at 512 KB."
"discard_staged_changes","Manually removes a staged change set from the server-side buffer without applying it."
"flag_migration_candidates_in_project","Autonomously scans every method in a project (or the whole solution), scores each
against the specified migration pattern, and stamps qualifying methods with
[MigrationCandidate(""pattern"")] — all in a single call. No agent iteration over
files or methods required.

projectName: name of the project to scan (case-insensitive). Omit to scan the whole solution.
pattern:     migration pattern to apply. Default ""AsyncBridgeCandidate"".
             Known patterns: AsyncBridgeCandidate, HandlerExtract, HandlerToAsync, AsyncCallerUplift.
minScore:    minimum score a method must reach to be flagged. Default 50.
dryRun:      when true, scores methods and returns what WOULD be flagged without writing any
             files. Use to preview before committing.
forceRescan: when true, ignores existing [MigrationCandidate] attributes and re-evaluates
             every method from scratch. Use after changing scoring rules for a clean result.

Scoring heuristics (AsyncBridgeCandidate):
  +40 — body contains blocking calls (.GetAwaiter().GetResult(), .Result, .Wait())
  +30 — body calls CommonSearch (the project's async-ready SQL wrapper)
  +25 — body uses SqlCommand / SqlConnection / getDataContext / DataContext
  +15 — class name ends with Service
  +5  — method is static (easier to bridge in isolation)
  -20 — method is virtual or override (interface widening may be required)
  disqualified — abstract, extern, already async, name ends with Async,
                 has yield return, has ref/out parameters, carries [Obsolete],
                 has sql-access only with no async leaf (linq-to-sql-only)
Event handlers (object sender, XxxEventArgs e) are automatically tagged as
AsyncHandlerCandidate instead of AsyncBridgeCandidate, with a +20 semantic bonus when
the handler calls an [Obsolete]-decorated bridge wrapper.
The +20 calls-obsolete-wrapper bonus applies to ALL methods (not just handlers) that
call any [Obsolete]-decorated method — catching helpers like initComboBox() that call
the deprecated sync CommonSearch.search() and need to migrate to searchAsync().

Returns FlagCandidatesInProjectResult:
  Flagged        — methods written (or that would be written when dryRun=true)
  Skipped        — methods scored but below minScore
  AlreadyFlagged — methods that already had [MigrationCandidate(""pattern"")]
  TotalMethodsExamined / TotalFilesWritten for progress tracking"
"remove_attribute","Removes a named attribute from a type or member.

targetName is the class/method/property name to modify.
attributeName is the attribute to remove, with or without the 'Attribute' suffix and brackets
(e.g. ""Obsolete"", ""ObsoleteAttribute"", or ""[Obsolete]"" — all match [Obsolete]).
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"find_re_do_s_patterns","Detects Regex patterns in string literals that contain nested quantifiers ((a+)+, (a*b*)+, etc.) — a common ReDoS vulnerability. On non-matching input these patterns cause catastrophic backtracking, making the CPU spin indefinitely. Reports the pattern and the dangerous construct."
"find_finalizer_on_disposable","Detects classes that implement IDisposable AND declare a finalizer (~C()) without a disposed-flag guard (if (_disposed) return;). The GC may call the finalizer after Dispose() has already run, causing double-free of unmanaged resources."
"acknowledge_sync","Clears the external drift list, indicating the AI has acknowledged and read the latest disk changes."
"use_exception_expressions","Replaces throw new ArgumentNullException(nameof(x)) with ArgumentNullException.ThrowIfNull(x) and throw new ArgumentOutOfRangeException(nameof(x)) with ArgumentOutOfRangeException.ThrowIfNegative(x) in the specified method."
"read_completed_work","Reads a completed-work log file from the solution's docs/completed/ directory. Only bare filenames and documentation extensions are accepted."
"find_unused_constructors","Identifies constructors that are never called in the entire solution."
"upgrade_to_primary_constructor","Converts a class with a simple assignment-only constructor into a C# 12 primary constructor. Removes the explicit constructor and its corresponding private readonly fields, then rewrites field references to use the parameter names directly. Only succeeds if every constructor statement is a field assignment."
"read_project_documentation","Reads a project documentation file from the solution's docs/documentation/ directory. The filename parameter is treated as a bare filename — any path components are stripped and rejected. Only documentation file types (.md, .yaml, .yml, .json, .txt) are permitted. Cannot read source files or files outside the docs directory."
"find_string_format_in_loops","Detects string interpolation ($""..."") and string.Format() calls inside loop bodies. Each iteration allocates a new string — use StringBuilder for accumulation or move the format outside the loop."
"pull_up_member","Pulls a member (method or property) up from a derived class to its base class.

Removes the 'override' modifier and adds 'virtual' (if not already abstract/virtual),
then moves the declaration from the derived class into the base class. Returns a two-file
change dict: derived class file (with member removed) + base class file (with member added).

Requires: the source class has a base class with accessible source code in the solution.
If autoStage is true (default), returns a ChangeId for use with ApplyStagedChanges."
"extract_class","Extracts named members (methods, properties, fields) from a class into a new '{newClassName}.cs' file. The source class is updated: extracted members are removed and a public auto-property 'public {NewClassName} {NewClassName} { get; } = new();' is added as the composition point, making the extracted class accessible to external callers. Cross-file call sites that previously called 'sourceObj.Method()' are automatically rewritten to 'sourceObj.NewClassName.Method()' solution-wide. Returns a dictionary of filePath→updatedContent for every affected file."
"generate_async_overload","Generates an async overload for a synchronous method by wrapping it in Task.Run."
"move_all_types_to_files_in_project","Atomically moves all secondary types in every file in a project to their own files. If autoStage is true, returns a ChangeId."
"propagate_cancellation_token_batch","Batch propagation of CancellationToken across multiple files. Accepts a list of file
paths with optional per-file method filters. Processes each file independently,
validating each in-memory before writing. Failed files do not block successful ones.
On failure with FlagFailures=true, flags offending methods with
[MigrationCandidate(""CancellationTokenForwardCandidate"")] for later manual review.

Input (PropagateCtBatchInput):
  Targets      — list of { FilePath, MethodNames? } targets.
  DryRun       — when true, computes results without writing files (default false).
  MaxFiles     — max files to process (default 100).
  FlagFailures — when true (default), flags failing methods with MigrationCandidate.

Returns PropagateCtBatchResult with:
  Applied         — per-file results for files that were successfully processed.
  Failed          — files that failed validation, with diagnostics and flagged methods.
  TotalForwarded  — total call sites rewritten across all files.
  TotalSkipped    — total call sites skipped.
  RemainingFiles  — number of targets not processed (due to MaxFiles cap).
  StopReason      — ""batch_complete"" | ""budget_exhausted"" | ""dry_run""."
"wrap_in_region","Wraps a line range with #region / #endregion preprocessor directives.

startLine and endLine are 1-based line numbers. regionName is the label after #region.
This uses text manipulation rather than AST transformation.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"validate_proposed_changes","Validates a dictionary of proposed file changes in-memory and returns compiler diagnostics. Use this for a 'dry run' before applying changes."
"detect_memory_leaks","Scans a file for potential memory leaks (e.g. unhooked events)."
"retry_failed_changes","Retries committing previously failed file changes using server-side cached content. Token-efficient: no need to re-send file contents."
"detect_inefficient_string_comparisons","Scans for common string comparison pitfalls. Optionally filtered by project."
"reduce_block_depth","Inverts a single-branch if statement to an early-return guard clause, reducing nesting depth."
"check_for_redundant_cast","Detects redundant type casts. Optionally filtered by project."
"update_current_state","Writes the migration state file (docs/migration-state.yaml). Takes no filename parameter — there is exactly one state file. Content size capped at 512 KB."
"get_external_changes","Returns a list of files that have been modified externally (on disk) since the AI last synced."
"analyze_data_flow","Analyzes data flow of a method body: identifies variables read before assignment, variables that flow out, write-only variables (possible bugs), and captured closure variables. methodName: the method to analyze. contextSnippet: optional snippet to disambiguate overloads. Provide lineBefore and/or lineAfter when the snippet could match multiple locations. Returns: ReadBeforeAssignment, WrittenInside, ReadInside, CapturedVariables, DataFlowWarnings."
"find_unawaited_fire_and_forget","Finds Task-returning methods called without await (fire-and-forget). Exceptions will be silently swallowed. Pass filePath to scope to a single file, projectName to scope to a project, or leave both null to scan the whole solution."
"write_handoff","Writes (creates or overwrites) a session handoff document in the solution's docs/handoffs/ directory. Only bare filenames and documentation extensions are accepted. Content size capped at 512 KB."
"add_property","Generates an auto-property and adds it to a type.

containerName is the class/record/struct to modify; propertyName and propertyType specify the property.
accessibility defaults to ""public"". hasSetter=true generates { get; set; }; false generates { get; }.
isInit=true generates { get; init; } (requires hasSetter=true).
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"extension_to_static","Converts an extension method into a standard static method call."
"invert_boolean_logic","Inverts all usages of a boolean identifier across the solution: wraps each usage with '!' and removes double negations. Returns a file-to-content map of changed files."
"add_summary_comment","Adds or replaces a /// <summary>...</summary> XML doc comment on a type or member.

targetName is the class/method/property name to document.
summaryText is the text content of the summary (single line).
If a summary already exists it will be replaced.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"convert_to_switch","Replaces if-else chains with switch statements for better readability.
Converts patterns like:
- 'if (x == 1) {...} else if (x == 2) {...}' → 'switch (x) { case 1: ...; case 2: ... }'

filePath: path to the .cs file to transform.
Automatically detects and converts eligible if-else chains (minimum 3 branches).
Returns the updated file content with switch statements applied."
"inline_class","Moves all members of a class into a target class and removes the source class declaration. Works within the same file (sourceFilePath == targetFilePath) or across files. Automatically updates ALL type references (variable declarations, constructor calls, casts, typeof, etc.) to the inlined class name throughout the solution, renaming them to the target class. Returns a dictionary of filePath→updatedContent for every affected file."
"find_possible_deadlocks","Analyzes a solution or project for deadlocks. Optional scope."
"check_package_inconsistency","Checks for NuGet package version inconsistencies across multiple projects."
"flag_migration_candidates_batch","Flags multiple methods with [MigrationCandidate] attributes in a single call. Groups
rewrites by file so each source file is read once and written once — avoids line-number
drift that occurs when sequential single-method calls modify the same file.

items: array of { FilePath, MethodName, Pattern, Score?, Reason? } objects.

Writes all changes directly to disk. Returns FlagMigrationCandidatesBatchResult with
per-method outcomes and any errors (items that failed do not abort the batch).

Prefer flag_migration_candidates_in_project when you want autonomous discovery.
Use this tool when you already have a specific list of methods to flag."
"format_document_preview","Returns a preview of what format_document would change without applying the changes.
Shows each changed line range with ±3 lines of context (similar to a unified diff).
Returns Changed=false and an empty Hunks list if the file is already formatted correctly.
Use this to inspect formatting changes before committing to format_document.
filePath: path to the .cs file to preview."
"check_project_consistency","Checks solution-wide consistency: TargetFramework alignment across projects and project naming convention adherence. Returns a list of issues with IssueType (TargetFrameworkMismatch, NamingConventionViolation), description, project name, and file path. NuGet package version consistency is covered by check_package_inconsistency."
"cleanup_implicit_spans","ImplicitSpanCleanup: Removes unnecessary .AsSpan() calls that are implicit in modern C#."
"list_features","Lists all available analysis/refactoring features and their current enabled status."
"find_all_throw_sites","Finds all throw sites (throw statements and throw expressions) across the solution, optionally filtered by exception type, file, or project. Returns file path, line, column, the exception type being thrown, the containing method name, whether the throw is inside a catch block (rethrow patterns), and any extracted message literal from the first argument. Set sortByFrequency=true to rank results by how often each exception type is thrown (most frequent first) — useful for auditing dominant error patterns."
"flag_migration_candidate","Adds a [MigrationCandidate(""pattern"")] attribute to a method, marking it for a future
async migration refactoring pass. The attribute is source-injected — no new project
references are required.

Writes the change directly to disk — no apply_staged_changes or apply_proposed_changes
step needed. If MigrationCandidateAttribute.cs does not yet exist in the project it is
also generated in the same directory.

Known patterns: AsyncBridgeCandidate, HandlerExtract, HandlerToAsync, AsyncCallerUplift.
Re-flagging a method with the same pattern is idempotent: the existing attribute is
replaced with the updated score/reason/date.

The specialist tool (e.g. convert_to_async_bridge) automatically removes [MigrationCandidate]
when it processes the method. Remove the attribute manually if the method is ruled ineligible.

Returns FlagMigrationCandidateResult with slim metadata only (no file source in the payload).
WasAlreadyFlagged and PreviousPattern indicate idempotency state."
"detect_unused_private_fields","Detects private fields that are never read or written in the file."
"sync_type_and_filename","Synchronizes the filename to match the primary type declared within it."
"find_unused_private_members","Finds all unused private members in a class."
"upgrade_to_modern_guards","ModernGuardClauses: Upgrades if-throw null checks to ArgumentNullException.ThrowIfNull / ArgumentException.ThrowIfNullOrEmpty."
"extract_local_variable","Extracts an inline expression into a local variable declaration.
Converts patterns like:
- 'return x + y;' → 'var sum = x + y; return sum;'
- 'var result = getValue();' → Extracts getValue() to a variable

contextSnippet: a verbatim substring containing or surrounding the expression to extract.
variableName: the name for the new variable.
Provide lineBefore and/or lineAfter when the snippet could match multiple locations.
Returns the updated file content with the expression extracted to a variable."
"update_project_documentation","Writes (creates or overwrites) a project documentation file in the solution's docs/documentation/ directory. Filename is treated as bare — path components are stripped and rejected. Only documentation file types permitted. Content size capped at 512 KB. Cannot write source files or files outside the docs directory."
"generate_repository_interface","Extracts an interface from a concrete class. Returns: the interface source code ready to paste into a new file, a DI registration snippet (services.AddScoped<IFoo, Foo>()), and a Moq mock setup snippet for use in unit tests."
"fix_thread_sleep","EPC33: Replaces Thread.Sleep with Task.Delay in async methods."
"generate_decorator_class","Generates a Decorator pattern class for a given interface. The decorator wraps any implementation, delegates all interface members to an inner instance, and includes TODO comments for adding cross-cutting concerns (logging, caching, retry). Returns the full .cs file source."
"introduce_variable","Introduces a new local variable based on a selected expression and replaces usages. Provide contextSnippet: a verbatim substring uniquely identifying the expression to extract. Provide lineBefore and/or lineAfter when the snippet could match multiple locations."
"insert_member_before","Inserts a new member immediately before a named member in a type declaration.

Finds the container type by name, then locates the member named beforeMemberName and inserts
newMemberSource directly before it (e.g. insert a field before a constructor).
If beforeMemberName is not found, the new member is appended at the end of the type.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"find_duplicate_blocks_in_hierarchy","Finds duplicate statement sequences across all types in an inheritance or
interface hierarchy — base class, derived classes, and implementing types.

Scoped to avoid noise: only types that share a common ancestor or interface
with the named type are included. Cross-hierarchy clones (unrelated types)
are excluded. This makes findings directly actionable: duplicates in a hierarchy
are candidates for extraction to the base class or a shared abstract method.

Returns the same DuplicateBlockGroup shape as FindDuplicateBlocksInClass,
with ContainingType and MethodName populated per occurrence so you can see
exactly which derived class has the copy.

typeName: the root type to anchor the hierarchy search (class or interface name).
projectName: optional filter to limit the search scope.
minStatements: minimum window size (default 4)."
"insert_member_after","Inserts a new member immediately after a named member in a type declaration.

Finds the container type by name, then locates the member named afterMemberName and inserts
newMemberSource directly after it (e.g. insert a new method after an existing method).
If afterMemberName is not found, the new member is appended at the end of the type.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"convert_property_safe","Converts a property between auto-property and full property with backing field.
Unlike the built-in convert_property, this correctly preserves initializers when converting
ToFullProperty (the initializer moves to the backing field) and handles virtual/override/new
modifiers without dropping them.
direction: ""ToFullProperty"" (auto-prop → backing field + expression-body accessors) or
           ""ToAutoProperty"" (full property → auto-prop, moving backing field initializer to property).
propertyName: the property to convert.
contextSnippet: optional verbatim substring to disambiguate when multiple properties share a name.
Provide lineBefore and/or lineAfter when the snippet could match multiple locations.
Returns the updated file content."
"make_method_static","Makes a method static if it does not access any instance members (fields, properties, methods)."
"move_type_to_outer_scope","Moves a nested type out to the containing namespace scope."
"generate_http_client","Generates a typed HttpClient for a Web API controller."
"upgrade_pattern_matching","IDE0019/20: Upgrades legacy type checks and casts to modern C# pattern matching (is string s)."
"get_code_inventory","Generates a structured report of all namespaces, classes, methods, and properties in a file."
"find_missing_cancellation_tokens","Finds async Task/ValueTask methods that lack a CancellationToken parameter but call at least one method that accepts one. These are methods that should thread cancellation through but aren't. Excludes: event handler methods with (object sender, XxxEventArgs e) signatures (delegate-bound, cannot accept CT), abstract methods, and methods that already have a CT parameter. Returns method name, containing type, file/line, and the callee names that accept CancellationToken."
"find_async_in_constructor","Finds constructors that call async methods or contain await expressions. Constructors cannot be async — use a factory method or AsyncHelper instead."
"detect_mismatched_await","Detects Task-returning method calls that are not awaited (potential fire-and-forget bugs). Skips intentional patterns: discard assignments (_ = MethodAsync()), Task.WhenAll/WhenAny arguments, return/arrow-body expressions, .GetAwaiter().GetResult() chains (those are blocking sync-over-async — use find_blocking_calls_in instead), ContinueWith/ConfigureAwait chains, field assignments, and variables later passed to WhenAll. Pass filePath to scope to a single file, projectName to scope to a project, or leave both null to scan the solution."
"preview_add_missing_usings","PREVIEW_ADD_MISSING_USINGS — Preview what usings would be added, without modifying the file.

FIXES MS BUG: The standard add_missing_usings tool with preview:true silently APPLIES
changes to the file on disk anyway — the preview flag is completely ignored. Files are
always modified regardless of what preview value you pass.

This tool performs the analysis in read-only mode:
  • Finds CS0246/CS0103 diagnostics (unresolved type/name errors)
  • Searches all projects in the solution for matching type declarations
  • Returns the list of namespaces that WOULD be added
  • Returns UpdatedContent — the file content WITH the usings added (for review)
  • Does NOT write to disk under any circumstances

Prerequisites: A solution must be loaded (HasLoadedSolution=true from GetWorkspaceHealth).
The file must be part of the loaded solution.

Returns: SolutionRequired, UsingsToAdd, Warning, UpdatedContent."
"detect_value_task_misuse","Detects invalid ValueTask usage patterns: (A) double await on same variable, (B) ValueTask stored and deferred-awaited with intervening statements, (C) ValueTask passed to Task.WhenAll() without .AsTask(), (D) .Result accessed on ValueTask. Reports method name and line for each violation."
"generate_mapping","Generates a mapping method between two types."
"optimize_to_value_task","Converts a method's Task/Task<T> return type to ValueTask/ValueTask<T> for reduced heap allocation on hot paths."
"read_handoff","Reads a session handoff document from the solution's docs/handoffs/ directory. Only bare filenames and documentation extensions are accepted."
"list_project_documentation","Lists all files in the solution's docs/ directory tree. Returns relative paths within docs/ only. Cannot enumerate source files or directories outside docs/."
"find_linq_n1_patterns","Detects LINQ N+1 query patterns: LINQ terminal calls (Where, FirstOrDefault, Any, Count, etc.) inside foreach/for/while loops where the loop variable appears in the LINQ chain — each iteration triggers a separate query. Reports file, line, and the loop variable involved."
